Entidad,Extension,Hab2015
Chihuahua,247ÿ455,3ÿ556ÿ574
Sonora,179ÿ355,2ÿ850ÿ330
Coahuila de Zaragoza,151ÿ562,2ÿ954ÿ915
Durango,123ÿ317,1ÿ754ÿ754
Oaxaca,93ÿ757,3ÿ967ÿ889
Tamaulipas,80ÿ249,3ÿ441ÿ698
Jalisco,78ÿ588,7ÿ844ÿ830
Zacatecas,75ÿ284,1ÿ579ÿ209
Baja California Sur,73ÿ909,712ÿ029
Chiapas,73ÿ311,5ÿ217ÿ908
Veracruz,71ÿ826,8ÿ112ÿ505
Baja California,71ÿ450,3ÿ315ÿ766
Nuevo Le¢n,64ÿ156,5ÿ119ÿ504
Guerrero,63ÿ596,3ÿ533ÿ251
San Luis Potos¡,61ÿ137,2ÿ717ÿ820
Michoac n,58ÿ599,4ÿ584ÿ471
Sinaloa,58ÿ200,2ÿ966ÿ321
Campeche,57ÿ507,899ÿ931
Quintana Roo,44ÿ705,1ÿ501ÿ562
Yucat n,39ÿ524,2ÿ097ÿ175
Puebla,34ÿ306,6ÿ168ÿ883
Guanajuato,30ÿ608,5ÿ853ÿ677
Nayarit,27ÿ857,1ÿ181ÿ050
Tabasco,24ÿ731,2ÿ395ÿ272
Estado de M‚xico,22ÿ351,16ÿ187ÿ608
Hidalgo,20ÿ813,2ÿ858ÿ359
Quer‚taro,11ÿ699,2ÿ038ÿ372
Colima,5627,711ÿ235
Aguascalientes,5616,1ÿ312ÿ544
Morelos,4879,1ÿ903ÿ811
Tlaxcala,4016,1ÿ272ÿ847
Ciudad de M‚xico,1495,8ÿ918ÿ653
