Chihuahua,247455,3556574
Sonora,179355,2850330
Coahuila de Zaragoza,151562,2954915
Durango,123317,1754754
Oaxaca,93757,3967889
Tamaulipas,80249,3441698
Jalisco,78588,7844830
Zacatecas,75284,1579209
Baja California Sur,73909,712029
Chiapas,73311,5217908
Veracruz,71826,8112505
Baja California,71450,3315766
Nuevo Len,64156,5119504
Guerrero,63596,3533251
San Luis Potos,61137,2717820
Michoacn,58599,4584471
Sinaloa,58200,2966321
Campeche,57507,899931
Quintana Roo,44705,1501562
Yucatn,39524,2097175
Puebla,34306,6168883
Guanajuato,30608,5853677
Nayarit,27857,1181050
Tabasco,24731,2395272
Estado de Mxico,22351,16187608
Hidalgo,20813,2858359
Quertaro,11699,2038372
Colima,5627,711235
Aguascalientes,5616,1312544
Morelos,4879,1903811
Tlaxcala,4016,1272847
Ciudad de Mxico,1495,8918653
