Campeche, 57507, 899931
Ciudad de Mxico, 1495, 8918653
Veracruz, 71826, 8112505
Jalisco, 78588, 7844830
Baja California Sur, 73909, 712029
Colima, 5627, 711235
Puebla, 34306, 6168883
Guanajuato, 30608, 5853677
Chiapas, 73311, 5217908
Nuevo Len, 64156, 5119504
Michoacn, 58599, 4584471
Oaxaca, 93757, 3967889
Chihuahua, 247455, 3556574
Guerrero, 63596, 3533251
Tamaulipas, 80249, 3441698
Baja California, 71450, 3315766
Sinaloa, 58200, 2966321
Coahuila de Zaragoza, 151562, 2954915
Hidalgo, 20813, 2858359
Sonora, 179355, 2850330
San Luis Potos, 61137, 2717820
Tabasco, 24731, 2395272
Yucatn, 39524, 2097175
Quertaro, 11699, 2038372
Morelos, 4879, 1903811
Durango, 123317, 1754754
Estado de Mxico, 22351, 16187608
Zacatecas, 75284, 1579209
Quintana Roo, 44705, 1501562
Aguascalientes, 5616, 1312544
Tlaxcala, 4016, 1272847
Nayarit, 27857, 1181050
